GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.mongodb.starter.models,Address,120,43,16,0,9,17,11,11,3,11
JaCoCo Coverage Report,com.mongodb.starter.models,Person,164,72,22,0,11,26,14,17,3,17
JaCoCo Coverage Report,com.mongodb.starter.models,Car,84,27,12,0,8,11,9,7,3,7
JaCoCo Coverage Report,com.mongodb.starter.dtos,AverageAgeDTO,37,10,8,0,7,4,6,3,2,3
JaCoCo Coverage Report,com.mongodb.starter.repositories,MongoDBPersonRepository,130,153,0,0,13,27,7,15,7,15
JaCoCo Coverage Report,com.mongodb.starter,ApplicationStarter,0,8,0,0,0,3,0,2,0,2
JaCoCo Coverage Report,com.mongodb.starter,SpringFoxConfig,0,40,0,0,0,13,0,3,0,3
JaCoCo Coverage Report,com.mongodb.starter,SpringConfiguration,0,38,0,0,0,7,0,2,0,2
JaCoCo Coverage Report,com.mongodb.starter.controllers,PersonController,47,50,2,0,10,13,6,10,5,10
